Land_ID,Group,Priority,L_ini,L_dev,L_mid,L_late,Kci,Kcm,Kce,RootDepth,CropDepletionFactor,LandFracTS,LandFracTS_Dom,Kc_TS,AddedWaterTS,CropFracFile,PlantDayFile,SeasonLengthFile
Datepalm_1,Rainfed,64,0,0,1,0,0.95,0.95,0.95,500,0,MC_datepalm_1_rfd_fr,MC_datepalm_1_rfd_dom,MC_datepalm_1_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop45_sub1_fraction.nc:crop45_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop45_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop45_sub1_season_length.nc:season_length,
Vine_1,Rainfed,65,0.3,0.14,0.2,0.36,0.3,0.8,0.3,400,0,MC_vine_1_rfd_fr,MC_vine_1_rfd_dom,MC_vine_1_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop46_sub1_fraction.nc:crop46_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop46_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop46_sub1_season_length.nc:season_length,
Cotton_1,Rainfed,66,0.17,0.33,0.25,0.25,0.35,1.18,0.6,650,0,MC_cotton_1_rfd_fr,MC_cotton_1_rfd_dom,MC_cotton_1_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop47_sub1_fraction.nc:crop47_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop47_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop47_sub1_season_length.nc:season_length,
Cocoa_1,Rainfed,67,0,0,1,0,1,1,1,300,0,MC_cocoa_1_rfd_fr,MC_cocoa_1_rfd_dom,MC_cocoa_1_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop48_sub1_fraction.nc:crop48_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop48_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop48_sub1_season_length.nc:season_length,
Coffee_1,Rainfed,68,0,0,1,0,1,1,1,400,0,MC_coffee_1_rfd_fr,MC_coffee_1_rfd_dom,MC_coffee_1_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop49_sub1_fraction.nc:crop49_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop49_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop49_sub1_season_length.nc:season_length,
Others_perennial_1,Rainfed,69,0,0,1,0,1,1,1,500,0,MC_othersPerennial_1_rfd_fr,MC_othersPerennial_1_rfd_dom,MC_othersPerennial_1_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop50_sub1_fraction.nc:crop50_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop50_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop50_sub1_season_length.nc:season_length,
Fodder_grasses_1,Rainfed,70,0,0,1,0,1,1,1,550,0,MC_fodderGrasses_1_rfd_fr,MC_fodderGrasses_1_rfd_dom,MC_fodderGrasses_1_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop51_sub1_fraction.nc:crop51_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop51_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop51_sub1_season_length.nc:season_length,
Others_annual_1,Rainfed,71,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,MC_othersAnnual_1_rfd_fr,MC_othersAnnual_1_rfd_dom,MC_othersAnnual_1_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop52_sub1_fraction.nc:crop52_subcrop1_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop52_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop52_sub1_season_length.nc:season_length,
Others_annual_2,Rainfed,72,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,MC_othersAnnual_2_rfd_fr,MC_othersAnnual_2_rfd_dom,MC_othersAnnual_2_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop52_sub2_fraction.nc:crop52_subcrop2_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop52_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop52_sub2_season_length.nc:season_length,
Others_annual_3,Rainfed,73,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,MC_othersAnnual_3_rfd_fr,MC_othersAnnual_3_rfd_dom,MC_othersAnnual_3_rfd_Kc,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/RfCrop_fraction/RfCrop52_sub3_fraction.nc:crop52_subcrop3_fraction,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop52_sub3_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop52_sub3_season_length.nc:season_length,
,,,,,,,,,,,,,,,,,,
Fallow,Fallow,74,,,,,,,,,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_fallow_fr.init,,,,,,
,,,,,,,,,,,,,,,,,,
Rice_crop,Irrigated_av,1,,,,,,,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_rice_irr_awCap_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_rice_irr_CDF_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_rice_irr_fr_av.init,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_rice_irr_Kc_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_rice_irr_AddedWater_av.init,,,
Non_rice_crop,Irrigated_av,2,,,,,,,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_nonrice_irr_awCap_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_nonrice_irr_CDF_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_nonrice_irr_fr_av.init,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_nonrice_irr_Kc_av.init,,,,
Rfd_crop,Rainfed_av,3,,,,,,,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_rfd_awCap_av.init,0,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_rfd_fr_av.init,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/MC_rfd_Kc_av.init,,,,
