Land_ID,Group,Priority,L_ini,L_dev,L_mid,L_late,Kci,Kcm,Kce,RootDepth,CropDepletionFactor,LandFracTS,LandFracTS_Dom,Kc_TS,AddedWaterTS,CropFracFile,PlantDayFile,SeasonLengthFile
Canola_1,Rainfed,60,0.3,0.25,0.3,0.15,0.35,1.1,0.35,600,0,CDL-US-M_canola_1_rfd_fr,CDL-US-M_canola_1_rfd_dom,CDL-US-M_canola_1_rfd_Kc,CDL-US_RfdCrop41_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop41_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop41_sub1_season_length.nc:season_length,
Groundnuts_1,Rainfed,61,0.22,0.28,0.3,0.2,0.4,1.15,0.6,500,0,CDL-US-M_groundnuts_1_rfd_fr,CDL-US-M_groundnuts_1_rfd_dom,CDL-US-M_groundnuts_1_rfd_Kc,CDL-US_RfdCrop42_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop42_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop42_sub1_season_length.nc:season_length,
Pulses_1,Rainfed,62,0.18,0.27,0.35,0.2,0.45,1.1,0.6,450,0,CDL-US-M_pulses_1_rfd_fr,CDL-US-M_pulses_1_rfd_dom,CDL-US-M_pulses_1_rfd_Kc,CDL-US_RfdCrop43_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop43_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop43_sub1_season_length.nc:season_length,
Citrus_1,Rainfed,63,0.16,0.25,0.33,0.26,0.8,0.8,0.8,500,0,CDL-US-M_citrus_1_rfd_fr,CDL-US-M_citrus_1_rfd_dom,CDL-US-M_citrus_1_rfd_Kc,CDL-US_RfdCrop44_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop44_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop44_sub1_season_length.nc:season_length,
Vine_1,Rainfed,65,0.3,0.14,0.2,0.36,0.3,0.8,0.3,400,0,CDL-US-M_vine_1_rfd_fr,CDL-US-M_vine_1_rfd_dom,CDL-US-M_vine_1_rfd_Kc,CDL-US_RfdCrop46_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop46_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop46_sub1_season_length.nc:season_length,
Cotton_1,Rainfed,66,0.17,0.33,0.25,0.25,0.35,1.18,0.6,650,0,CDL-US-M_cotton_1_rfd_fr,CDL-US-M_cotton_1_rfd_dom,CDL-US-M_cotton_1_rfd_Kc,CDL-US_RfdCrop47_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop47_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop47_sub1_season_length.nc:season_length,
Others_perennial_1,Rainfed,69,0,0,1,0,1,1,1,500,0,CDL-US-M_othersPerennial_1_rfd_fr,CDL-US-M_othersPerennial_1_rfd_dom,CDL-US-M_othersPerennial_1_rfd_Kc,CDL-US_RfdCrop50_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop50_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop50_sub1_season_length.nc:season_length,
Fodder_grasses_1,Rainfed,70,0,0,1,0,1,1,1,550,0,CDL-US-M_fodderGrasses_1_rfd_fr,CDL-US-M_fodderGrasses_1_rfd_dom,CDL-US-M_fodderGrasses_1_rfd_Kc,CDL-US_RfdCrop51_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop51_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop51_sub1_season_length.nc:season_length,
Others_annual_1,Rainfed,71,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,CDL-US-M_othersAnnual_1_rfd_fr,CDL-US-M_othersAnnual_1_rfd_dom,CDL-US-M_othersAnnual_1_rfd_Kc,CDL-US_RfdCrop52_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop52_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop52_sub1_season_length.nc:season_length,
Others_annual_2,Rainfed,72,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,CDL-US-M_othersAnnual_2_rfd_fr,CDL-US-M_othersAnnual_2_rfd_dom,CDL-US-M_othersAnnual_2_rfd_Kc,CDL-US_RfdCrop52_sub2,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop52_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop52_sub2_season_length.nc:season_length,
Others_annual_3,Rainfed,73,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,CDL-US-M_othersAnnual_3_rfd_fr,CDL-US-M_othersAnnual_3_rfd_dom,CDL-US-M_othersAnnual_3_rfd_Kc,CDL-US_RfdCrop52_sub3,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/RfCrop52_sub3_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/RfCrop52_sub3_season_length.nc:season_length,
,,,,,,,,,,,,,,,,,,
Fallow,Fallow,74,,,,,,,,,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_fallow_fr.init,,,,,,
,,,,,,,,,,,,,,,,,,
Rice_crop,Irrigated_av,1,,,,,,,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_rice_irr_awCap_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_rice_irr_CDF_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_rice_irr_fr_av.init,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_rice_irr_Kc_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_rice_irr_AddedWater_av.init,,,
Non_rice_crop,Irrigated_av,2,,,,,,,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_nonrice_irr_awCap_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_nonrice_irr_CDF_av.init,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_nonrice_irr_fr_av.init,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_nonrice_irr_Kc_av.init,,,,
Rfd_crop,Rainfed_av,3,,,,,,,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_rfd_awCap_av.init,0,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_rfd_fr_av.init,,/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data_init/CDL-US-M_rfd_Kc_av.init,,,,
